Id,Label,timeset,modularity_class,indegree,outdegree,degree
twoqee777,,,33,1,0,1
37172867,,,33,1,0,1
realf,,,33,1,0,1
46055959,,,33,1,0,1
yanpan,,,33,1,0,1
yimengbai,,,33,3,0,3
greeen,,,33,1,0,1
carloe,,,33,1,0,1
49814052,,,33,1,0,1
coooooooka,,,33,1,0,1
missjulia1115,,,33,1,0,1
Lea86,,,33,1,0,1
veratime,,,33,1,0,1
18012344,,,33,1,0,1
4898185,,,33,1,0,1
miss.noise,,,33,1,0,1
qiulx0yeah,,,33,1,0,1
milkyball,,,33,2,0,2
pusoo,,,33,1,0,1
Tunasalad,,,9,2,0,2
changyiner1213,,,33,5,0,5
alcoholstone,,,33,1,0,1
mmmary,,,33,2,0,2
NEWTANSE,,,11,3,0,3
comichunter,,,33,5,0,5
xiao2b,,,33,1,0,1
asuka1207,,,33,1,0,1
yilindesign,,,33,1,0,1
yinjuehua,,,33,1,0,1
placat,,,33,1,0,1
z2L,,,11,3,0,3
sixi330,,,33,3,0,3
gatsby,,,33,1,0,1
limoji,,,33,1,0,1
diymonkey,,,33,2,0,2
46451623,,,33,1,0,1
corallin33,,,33,3,0,3
2632789,,,33,1,0,1
37665957,,,33,1,0,1
spikespike28,,,33,1,0,1
fuhaochen,,,33,1,0,1
shinewewe,,,33,4,0,4
47342633,,,33,1,0,1
yenobis,,,33,1,0,1
cjeg3220,,,33,2,0,2
doura,,,33,1,0,1
missdong,,,33,1,0,1
kazoku,,,33,1,0,1
13335085,,,33,1,0,1
caohun1.level48,,,33,1,0,1
hoover_up,,,33,2,0,2
sherjiera,,,33,1,0,1
39062096,,,33,1,0,1
45177488,,,33,1,0,1
36472909,,,33,1,0,1
2215451,,,33,1,0,1
taosetaotie,,,33,1,0,1
NT-crazy,,,33,2,0,2
46522247,,,33,1,0,1
sorrylove,,,33,1,0,1
pipopipo,,,33,1,0,1
edison_CC,,,33,2,0,2
N-crazy,,,33,1,0,1
34292432,,,33,1,0,1
